"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S206404","2010","Stars In Your Eyes Vision Training","Administrative & Optometry Assistant","1610","Other"," ",23-MAY-11
"S206405","2010","Maternity Care Coalition","Non-Profit","1425","Non-Profit Adminstration"," ",13-JAN-11
"S206406","2010"," "," "," "," "," ",
"S206407","2010"," "," "," "," "," ",
"S206408","2010","Teach for America","Corps Member","1140","Education (Secondary)"," ",21-JAN-11
"S206409","2010"," "," "," "," "," ",
"S206410","2010","Chattanooga Creative Discov. Museum","Museum Educator","1410","Museum Work"," ",10-APR-12
"S206412","2010","Austin Pro Bono","Community Outreach Intern","1610","Other"," ",19-JAN-12
"S206413","2010","University of North Carolina","Teaching Assistant","1150","Education (Higher Education)"," ",10-APR-12
"S206414","2010","Integrated Co-Teaching","7th Grade Humanities/Spec.Ed.Tchr.","1140","Education (Secondary)"," ",25-OCT-12
"S206415","2010","Big Things Studios"," ","1610","Other","IL",21-JAN-11
"S206416","2010"," "," "," "," "," ",
"S206418","2010","North Carolina Children's Hospital","Research Associate","1490","Research, Other","NC",12-APR-11
"S206419","2010"," "," "," "," "," ",
"S206420","2010"," "," "," "," "," ",
"S206421","2010"," "," "," "," "," ",
"S206422","2010","Employer Unknown"," ","1260","Hotel/Food Management"," ",27-SEP-11
"S206424","2010","University of Cincinnati","Medical Student","1230","Graduate Studies"," ",24-MAR-11
"S206425","2010"," "," "," "," "," ",
"S206426","2010","New York Magazine","Editorial Intern","1460","Publishing"," ",12-APR-11
"S206427","2010","Washington State University","Grad. Stdt-PhD Clinical Child Psych","1230","Graduate Studies"," ",15-NOV-12
"S206428","2010","Fulbright","Fellow","1490","Research, Other"," ",19-JUL-10
"S206429","2010","Travel Channel","Production Coordinator","1070","Broadcast-Radio/Television","MD",25-JAN-11
"S206430","2010"," "," "," "," "," ",
"S206431","2010","Indiana University","Medical Student","1370","Medicine"," ",24-MAR-11
"S206432","2010","Harvard University","Graduate Student","1230","Graduate Studies"," ",31-JAN-12
"S206434","2010","American Commercial Lines"," ","1610","Other"," ",03-FEB-12
"S206435","2010","Bessemer Trust","Wealth Manager","1200","Finance","DC",16-JUL-12
"S206436","2010","Johns Hopkins School of Nursing","Nursing Student","1430","Nursing"," ",23-AUG-12
"S206438","2010"," "," "," "," "," ",
"S206440","2010","Coleman Research Group","Research Associate","1610","Other"," ",11-APR-11
"S206441","2010","eBay","Product Manager, Social Commerce","1610","Other"," ",07-APR-11
"S206442","2010","International Rescue Committee","AmeriCorps VISTA Volunteer","1600","Volunteer"," ",17-OCT-12
"S206443","2010"," "," "," "," "," ",
"S206444","2010"," "," "," "," "," ",
"S206446","2010","Yale School of Nursing","Certified Nurse Midwife(Student)","1430","Nursing"," ",23-JAN-12
"S206448","2010","Fulbright","English Teacher","1140","Education (Secondary)"," ",19-JUL-10
"S206451","2010"," "," "," "," "," ",
"S206452","2010"," "," "," "," "," ",
"S206453","2010","Eurasia Foundation","Communications/Development Asst.","1425","Non-Profit Adminstration","DC",24-FEB-12
"S206454","2010","Obama for America-Ohio","Director of Out of State Volunteers","1220","Government","OH",24-OCT-12
"S206456","2010","University Hospital of Cincinnati","Social Worker, MSW, LSW","1530","Social Work/Human Services"," ",02-NOV-12
"S206457","2010"," "," "," "," "," ",
"S206458","2010","University of Cincinnati","Medical Student","1230","Graduate Studies"," ",24-MAR-11
"S206459","2010"," "," "," "," "," ",
"S206460","2010","Potomac Research Group","Research Associate","1490","Research, Other","DC",08-MAR-11
"S206461","2010"," "," "," "," "," ",
"S206462","2010"," "," "," "," "," ",
"S206464","2010"," "," "," "," "," ",
"S206466","2010","Oregon Health & Science University","Research Assistant","1500","Research,Scientific"," ",08-JUN-11
"S206468","2010","Fulbright","English Teacher","1140","Education (Secondary)"," ",19-JUL-10
"S206469","2010"," "," "," "," "," ",
"S206470","2010","University of Chicago Law School","Law Student","1230","Graduate Studies","IL",07-OCT-10
"S206471","2010"," "," "," "," "," ",
"S206476","2010","Mayo Graduate School","Graduate Student","1230","Graduate Studies"," ",19-JUL-11
"S206485","2010"," "," "," "," "," ",
"S206486","2010","World Learning:Sch. Int'l.Training","Program/Teaching Assistant","1290","International"," ",01-MAR-12
"S206489","2010"," "," "," "," "," ",
"S206491","2010","Pacific Palisades Malibu YMCA","Coordinator-Youth Sports","1540","Sports","CA",18-JUN-12
"S207485","2010"," "," "," "," "," ",
"S207486","2010","Employer Unknown","Bike Messenger","1610","Other"," ",10-APR-12
"S207487","2010","University of Colorado","Law Student","1230","Graduate Studies"," ",16-APR-12
"S207488","2010"," "," "," "," "," ",
"S207489","2010"," "," "," "," "," ",
"S207490","2010","University of Tennessee","Medical Student","1230","Graduate Studies"," ",24-MAR-11
"S207491","2010","Berthold Haas Design, LLC","Collaborator/Co-Designer","1050","Arts","TX",18-APR-12
"S207492","2010"," "," "," "," "," ",
"S207494","2010"," "," "," "," "," ",
"S207497","2010","Gotham Capital","Financial Analyst","1300","Investment/Securities","NY",18-JAN-11
"S207498","2010","BBC America","Junior Producer","1610","Other"," ",11-APR-11
"S208380","2010"," "," "," "," "," ",
"S203341","2011"," "," "," "," "," ",
"S204339","2011"," "," "," "," "," ",
"S206014","2011"," "," "," "," "," ",
"S206105","2011","Georgetown University","Graduate Student-Classics","1230","Graduate Studies"," ",27-APR-12
"S206129","2011"," "," "," "," "," ",
"S206144","2011","Boston University","Graduate Student-Theology","1230","Graduate Studies"," ",16-APR-12
"S206236","2011"," "," "," "," "," ",
"S206240","2011"," "," "," "," "," ",
"S206250","2011","Ardeo + Bardeo Restaurant","Line Cook","1610","Other","DC",16-APR-12
"S206291","2011"," "," "," "," "," ",
"S206314","2011"," "," "," "," "," ",
"S206325","2011"," "," "," "," "," ",
"S206338","2011"," "," "," "," "," ",
"S206377","2011"," "," "," "," "," ",
"S207001","2011"," "," "," "," "," ",
"S207002","2011"," "," "," "," "," ",
"S207003","2011"," "," "," "," "," ",
"S207004","2011"," "," "," "," "," ",
"S207005","2011"," "," "," "," "," ",
"S207006","2011"," "," "," "," "," ",
"S207007","2011"," "," "," "," "," ",
"S207008","2011"," "," "," "," "," ",
"S207009","2011"," "," "," "," "," ",
"S207010","2011"," "," "," "," "," ",
"S207011","2011"," "," "," "," "," ",
"S207012","2011"," "," "," "," "," ",
"S207013","2011","Wells Fargo,Tech. & Venture Bk Grp.","Financial Analyst","1200","Finance"," ",28-JUN-12
"S207015","2011","MRM Worldwide","Group Coordinator","1360","Marketing/Market Research","NY",15-FEB-12
"S207016","2011","Fulbright","English Teacher","1140","Education (Secondary)"," ",14-JUL-11
"S207019","2011","University of Southern Maine","Nursing Student","1230","Graduate Studies"," ",16-AUG-12
"S207020","2011"," "," "," "," "," ",
"S207022","2011"," "," "," "," "," ",
"S207023","2011"," "," "," "," "," ",
"S207024","2011"," "," "," "," "," ",
"S207025","2011"," "," "," "," "," ",
"S207026","2011"," "," "," "," "," ",
"S207027","2011","Teach for America","Teacher","1140","Education (Secondary)"," ",16-MAY-12
"S207028","2011","Primo Coro and Canterini of PMYC","Conductor","1435","Performing Arts"," ",29-AUG-11
"S207029","2011","University of Pittsburgh","Graduate Student","1230","Graduate Studies"," ",05-DEC-12
"S207031","2011"," "," "," "," "," ",
"S207033","2011"," "," "," "," "," ",
"S207034","2011"," "," "," "," "," ",
"S207035","2011"," "," "," "," "," ",
"S207036","2011"," "," "," "," "," ",
"S207037","2011"," "," "," "," "," ",
"S207038","2011"," "," "," "," "," ",
"S207039","2011"," "," "," "," "," ",
"S207041","2011","Latino Economic Development Corp.","Loan Officer","1530","Social Work/Human Services"," ",07-MAR-12
"S207042","2011"," "," "," "," "," ",
"S207044","2011"," "," "," "," "," ",
"S207045","2011","Covington & Burling LLP","Litigation Paralegal","1320","Law","DC",23-JUN-11
"S207046","2011","National 4-H Council","Consumer Insights Specialist"," "," ","MD",13-JAN-12
"S207047","2011"," "," "," "," "," ",
"S207048","2011"," "," "," "," "," ",
"S207049","2011"," "," "," "," "," ",
"S207050","2011"," "," "," "," "," ",
"S207051","2011"," "," "," "," "," ",
"S207052","2011","Keep America Beautiful","Junior Associate","1610","Other"," ",16-APR-12
"S207053","2011","New York Magazine","Integrated Sales Planner","1610","Other"," ",15-MAY-12
"S207054","2011"," "," "," "," "," ",
"S207055","2011","Allegheny College","Assistant Swim Coach","1540","Sports"," ",07-DEC-12
"S207056","2011","Chelsea Green Publishing","Marketing Intern","1460","Publishing"," ",26-JAN-12
"S207057","2011","Goldman Sachs","Analyst","1610","Other"," ",13-APR-12
"S207058","2011","Employer Unknown","Literary Agent Assistant","1610","Other"," ",23-APR-12
"S207059","2011","St. Lawrence University","Graduate Assistant-Swimming","1540","Sports"," ",07-AUG-12
"S207060","2011"," "," "," "," "," ",
"S207061","2011","Bates College","Assistant Swim Coach","1540","Sports"," ",20-APR-12
"S207062","2011"," "," "," "," "," ",
"S207063","2011"," "," "," "," "," ",
"S207065","2011","Americans for Peace Now"," ","1425","Non-Profit Adminstration"," ",09-FEB-12
"S207066","2011","USC","Graduate Student","1230","Graduate Studies"," ",10-APR-12
"S207068","2011"," "," "," "," "," ",
"S207069","2011"," "," "," "," "," ",
"S207070","2011","Michael Baker Corp","Field Archaeologist","1610","Other"," ",10-SEP-12
"S207071","2011","Employer Unknown","Swim Coach","1540","Sports"," ",16-APR-12
"S207072","2011","Univ. of North Carolina-Chapel Hill","Student","1230","Graduate Studies"," ",16-APR-12
"S207073","2011"," "," "," "," "," ",
"S207075","2011"," "," "," "," "," ",
"S207076","2011"," "," "," "," "," ",
"S207077","2011"," "," "," "," "," ",
"S207078","2011"," "," "," "," "," ",
"S207079","2011"," "," "," "," "," ",
"S207080","2011"," "," "," "," "," ",
"S207081","2011","Cleveland Clinic Lerner Col.of Med.","Medical Student","1230","Graduate Studies","OH",15-FEB-12
"S207083","2011"," "," "," "," "," ",
"S207084","2011"," "," "," "," "," ",
"S207087","2011"," "," "," "," "," ",
"S207088","2011"," "," "," "," "," ",
"S207089","2011"," "," "," "," "," ",
"S207090","2011"," "," "," "," "," ",
"S207091","2011"," "," "," "," "," ",
"S207092","2011"," "," "," "," "," ",
"S207093","2011"," "," "," "," "," ",
"S207095","2011"," "," "," "," "," ",
"S207096","2011"," "," "," "," "," ",
"S207097","2011"," "," "," "," "," ",
"S207098","2011"," "," "," "," "," ",
"S207100","2011","Potomac School","Teacher-Lower School","1130","Education (Elementary)"," ",16-APR-12
"S207101","2011"," "," "," "," "," ",
"S207102","2011"," "," "," "," "," ",
"S207103","2011","The Tikvah Fund","Fellow","1610","Other","NY",08-OCT-12
"S207104","2011","Ohio State University","Graduate Student-Law","1230","Graduate Studies"," ",05-DEC-12
"S207105","2011","School Unknown","Graduate Student","1230","Graduate Studies"," ",10-APR-12
"S207106","2011"," "," "," "," "," ",
"S207107","2011"," "," "," "," "," ",
"S207108","2011","Language Stars","Operations and Logistics Intern","1130","Education (Elementary)","IL",07-MAR-12
"S207111","2011","Ohio State University","Research Assistant","1500","Research,Scientific"," ",12-APR-12
"S207112","2011","Self Employed","Freelance Prop Carpenter","1520","Self Employed"," ",11-APR-12
"S207114","2011"," "," "," "," "," ",
"S207115","2011"," "," "," "," "," ",
"S207116","2011"," "," "," "," "," ",
"S207118","2011","Ohio University","Graduate Student","1230","Graduate Studies"," ",10-APR-12
"S207119","2011"," "," "," "," "," ",
"S207120","2011","Random House Publishing","Publicity Assistant","1460","Publishing"," ",23-APR-12
"S207121","2011"," "," "," "," "," ",
"S207122","2011","Self Employed","Freelance Art","1050","Arts"," ",13-NOV-12
"S207124","2011"," "," "," "," "," ",
"S207125","2011"," "," "," "," "," ",
"S207126","2011","Father Martin's Ashley","Program Service Assistant","1530","Social Work/Human Services"," ",25-JAN-12
"S207128","2011","CIEE Service-Learning Program","Alumni-Intern","1610","Other"," ",10-JAN-12
"S207129","2011"," "," "," "," "," ",
"S207130","2011"," "," "," "," "," ",
"S207131","2011","Dartmouth Child Care Center"," ","1610","Other"," ",12-NOV-12
"S207135","2011"," "," "," "," "," ",
"S207136","2011","Granite Creek Partners","Analyst","1610","Other"," ",15-MAY-12
"S207137","2011","American Museum of Natural History"," ","1410","Museum Work"," ",17-APR-12
"S207138","2011"," "," "," "," "," ",
"S207139","2011"," "," "," "," "," ",
"S207142","2011"," "," "," "," "," ",
"S207144","2011"," "," "," "," "," ",
"S207145","2011","Conde-Nast","Paralegal","1320","Law","NY",09-MAY-12
"S207146","2011"," "," "," "," "," ",
"S207149","2011","Institute for Community Justice"," ","1610","Other"," ",17-APR-12
"S207150","2011"," "," "," "," "," ",
"S207151","2011","Hickman Charter School","Physical Education Teacher","1140","Education (Secondary)"," ",11-APR-12
"S207152","2011"," "," "," "," "," ",
"S207155","2011","Merrill Lynch","Financial Advisor","1200","Finance","FL",25-OCT-12
"S207156","2011"," "," "," "," "," ",
"S207157","2011"," "," "," "," "," ",
"S207159","2011","Boston U. Ctr. Digital Imaging Arts","Assistant Director","1610","Other","DC",07-DEC-12
"S207160","2011","Lake Erie College","Medical Student","1230","Graduate Studies"," ",10-APR-12
"S207161","2011"," "," "," "," "," ",
"S207162","2011"," "," "," "," "," ",
"S207163","2011"," "," "," "," "," ",
"S207164","2011"," "," "," "," "," ",
"S207165","2011"," "," "," "," "," ",
"S207166","2011"," "," "," "," "," ",
"S207168","2011"," "," "," "," "," ",
"S207169","2011"," "," "," "," "," ",
"S207170","2011","EnerNOC","Customer Relations Associate","1160","Energy Industries"," ",31-JAN-12
"S207171","2011"," "," "," "," "," ",
"S207173","2011","Starwood Hotels"," ","1260","Hotel/Food Management"," ",29-NOV-12
"S207174","2011"," "," "," "," "," ",
"S207175","2011"," "," "," "," "," ",
"S207176","2011"," "," "," "," "," ",
"S207177","2011"," "," "," "," "," ",
"S207178","2011"," "," "," "," "," ",
"S207179","2011","Kent State University","Student-Clinical Mental HealthCnslg","1230","Graduate Studies"," ",11-APR-12
"S207180","2011"," "," "," "," "," ",
"S207181","2011"," "," "," "," "," ",
"S207182","2011"," "," "," "," "," ",
"S207183","2011"," "," "," "," "," ",
"S207184","2011"," "," "," "," "," ",
"S207185","2011"," "," "," "," "," ",
"S207186","2011","Natural Resources Defense Council"," ","1610","Other"," ",12-APR-12
"S207187","2011","School Unknown","Graduate Student","1230","Graduate Studies"," ",22-FEB-12
"S207188","2011","Vital Voives Global Partnership","Coordinator","1425","Non-Profit Adminstration","DC",04-JAN-12
"S207189","2011"," "," "," "," "," ",
"S207190","2011","University of Chicago","Graduate Student-MA Humanities","1230","Graduate Studies"," ",03-JAN-12
"S207191","2011"," "," "," "," "," ",
"S207192","2011"," "," "," "," "," ",
"S207193","2011","Self Employed","Freelance Researcher","1490","Research, Other","OH",26-OCT-11
"S207194","2011","CVS Caremark","PharmD Student Intern","1250","Health Care","DC",24-JAN-12
"S207196","2011","Brown and Gould LLP","Paralegal","1320","Law"," ",16-APR-12
"S207197","2011"," "," "," "," "," ",
"S207199","2011"," "," "," "," "," ",
"S207200","2011"," "," "," "," "," ",
"S207201","2011"," "," "," "," "," ",
"S207202","2011"," "," "," "," "," ",
"S207203","2011","Cincinnati Faith & Justice","Immigration Organizer","1610","Other"," ",09-AUG-11
"S207204","2011"," "," "," "," "," ",
"S207205","2011"," "," "," "," "," ",
"S207206","2011"," "," "," "," "," ",
"S207207","2011","US Supreme Court","Aid to the Marshall","1610","Other"," ",02-MAY-12
"S207208","2011"," "," "," "," "," ",
"S207209","2011"," "," "," "," "," ",
"S207210","2011"," "," "," "," "," ",
"S207211","2011","Aflac","Independent Agent","1280","Insurance"," ",10-APR-12
"S207213","2011"," "," "," "," "," ",
"S207214","2011"," "," "," "," "," ",
"S207215","2011","AmeriCorps VISTA","Volunteer","1600","Volunteer"," ",23-APR-12
"S207216","2011","Ascension Capital Group","Research Analyst","1080","Business"," ",10-FEB-12
"S207217","2011","Schuler Scholar Program","AmeriCorps Scholar Coach","1140","Education (Secondary)","IL",09-DEC-11
"S207218","2011"," "," "," "," "," ",
"S207220","2011"," "," "," "," "," ",
"S207221","2011","Junior Tennis Champions Center","Development Manager","1210","Fundraising/Development","MD",18-JUL-12
"S207222","2011"," "," "," "," "," ",
"S207223","2011"," "," "," "," "," ",
"S207224","2011","Self Employed","Freelance Writer","1580","Writing"," ",23-APR-12
"S207225","2011"," "," "," "," "," ",
"S207226","2011"," "," "," "," "," ",
"S207227","2011"," "," "," "," "," ",
"S207229","2011","Ashoka Trust","Research Intern","1500","Research,Scientific"," ",01-AUG-11
"S207234","2011"," "," "," "," "," ",
"S207236","2011"," "," "," "," "," ",
"S207237","2011"," "," "," "," "," ",
"S207238","2011"," "," "," "," "," ",
"S207239","2011","Burke-Cornell Medical Research Inst","Research Fellow","1500","Research,Scientific"," ",13-APR-12
"S207240","2011","Univ. of Kentucky -Patterson School","Graduate Student","1230","Graduate Studies"," ",26-JUN-12
"S207241","2011"," "," "," "," "," ",
"S207243","2011"," "," "," "," "," ",
"S207244","2011"," "," "," "," "," ",
"S207245","2011"," "," "," "," "," ",
"S207247","2011"," "," "," "," "," ",
"S207248","2011"," "," "," "," "," ",
"S207249","2011","Teach for America","1st Grade Bilingual Teacher","1130","Education (Elementary)","CA",26-JUN-12
"S207251","2011"," "," "," "," "," ",
"S207252","2011"," "," "," "," "," ",
"S207253","2011","University of Georgia","Graduate Student","1230","Graduate Studies"," ",30-APR-12
"S207255","2011"," "," "," "," "," ",
"S207256","2011","American Red Cross-Central New York","Volunteer Coordinator","1610","Other"," ",17-APR-12
"S207257","2011","McIntosh & Otis Literary Agency","Children's Intern","1460","Publishing","NY",19-MAR-12
"S207258","2011","Adcom Group","Content and SEO Specialist","1020","Advertising"," ",16-APR-12
"S207259","2011","Human Rights Campaign","Web Editor","1125","ECommerce/Web"," ",19-APR-12
"S207260","2011"," "," "," "," "," ",
"S207261","2011","Employer Unknown"," ","1500","Research,Scientific"," ",09-AUG-11
"S207262","2011"," "," "," "," "," ",
"S207263","2011","JPMorgan Chase","Private Bank Analyst","1200","Finance","NY",11-AUG-11
"S207264","2011"," "," "," "," "," ",
"S207265","2011","Town of Greenwich","Special Projects Coordinator for HR","1220","Government"," ",29-OCT-12
"S207266","2011","Kenyon College","Admissions Counselor","1150","Education (Higher Education)","OH",08-OCT-12
"S207267","2011"," "," "," "," "," ",
"S207268","2011"," "," "," "," "," ",
"S207269","2011","Language Twin","Co-Founder/Business Development","1150","Education (Higher Education)"," ",02-MAR-12
"S207270","2011","Barnes and Noble"," "," "," "," ",07-DEC-12
"S207271","2011","Next Level Learning Center","Tutor","1140","Education (Secondary)"," ",10-APR-12
"S207272","2011"," "," "," "," "," ",
"S207273","2011"," "," "," "," "," ",
"S207274","2011","Spongecell","Office Manager","1020","Advertising","NY",23-OCT-12
"S207275","2011"," "," "," "," "," ",
"S207276","2011","VaynerMedia","Community & Content Coordinator","1610","Other","NY",16-JAN-12
"S207277","2011","Intercultura Language School","ESL Teacher","1610","Other"," ",17-APR-12
"S207278","2011"," "," "," "," "," ",
"S207279","2011"," "," "," "," "," ",
"S207280","2011"," "," "," "," "," ",
"S207281","2011"," "," "," "," "," ",
"S207282","2011","Dr. Cliff Colnot","Personal Assistant and Music","1420","Music","IL",12-NOV-12
"S207283","2011"," "," "," "," "," ",
"S207284","2011"," "," "," "," "," ",
"S207285","2011"," "," "," "," "," ",
"S207287","2011","Rescigno's Marketing Connections","Project Manager","1360","Marketing/Market Research"," ",14-AUG-12
"S207288","2011","Conde Nast","Executive Assistant","1460","Publishing","NY",01-NOV-11
"S207289","2011"," "," "," "," "," ",
"S207290","2011"," "," "," "," "," ",
"S207292","2011"," "," "," "," "," ",
"S207293","2011"," "," "," "," "," ",
"S207294","2011"," "," "," "," "," ",
"S207295","2011"," "," "," "," "," ",
"S207297","2011"," "," "," "," "," ",
"S207298","2011"," "," "," "," "," ",
"S207299","2011"," "," "," "," "," ",
"S207300","2011","Employer Unknown"," ","1050","Arts"," ",04-JAN-12
"S207303","2011"," "," "," "," "," ",
"S207305","2011"," "," "," "," "," ",
"S207306","2011"," "," "," "," "," ",
"S207307","2011","TaylorMade adidas Golf Company"," ","1610","Other","CA",04-DEC-12
"S207308","2011","Employer Unknown","English Teacher","1140","Education (Secondary)"," ",09-JAN-12
"S207309","2011","Employer Unknown","Paralegal","1610","Other"," ",23-APR-12
"S207310","2011","McMaster-Carr Supply Company","Sales Operations Management","1510","Sales"," ",07-DEC-12
"S207311","2011"," "," "," "," "," ",
"S207312","2011"," "," "," "," "," ",
"S207313","2011"," "," "," "," "," ",
"S207314","2011"," "," "," "," "," ",
"S207315","2011"," "," "," "," "," ",
"S207316","2011","University of Chicago","Graduate Student","1530","Social Work/Human Services","IL",30-JUL-12
"S207317","2011"," "," "," "," "," ",
"S207318","2011"," "," "," "," "," ",
"S207319","2011","Better Way Imports","Director of Communications","1380","Merchandising/Retail"," ",30-NOV-12
"S207320","2011","Duke University","Graduate Student","1230","Graduate Studies","NC",19-SEP-11
"S207321","2011"," "," "," "," "," ",
"S207323","2011","Maxpoint Interactive","Business Analyst","1080","Business"," ",07-JUN-12
"S207324","2011"," "," "," "," "," ",
"S207325","2011"," "," "," "," "," ",
"S207326","2011","University of Minnesota","Graduate Student","1230","Graduate Studies"," ",11-APR-12
"S207328","2011"," "," "," "," "," ",
"S207329","2011"," "," "," "," "," ",
"S207330","2011"," "," "," "," "," ",
"S207331","2011"," "," "," "," "," ",
"S207333","2011"," "," "," "," "," ",
"S207334","2011"," "," "," "," "," ",
"S207335","2011","AmeriCorps"," ","1610","Other","NC",09-JAN-12
"S207337","2011"," "," "," "," "," ",
"S207338","2011"," "," "," "," "," ",
"S207339","2011","Anatolia College","Dormitory Fellow","1610","Other"," ",02-MAY-12
"S207340","2011"," "," "," "," "," ",
"S207341","2011"," "," "," "," "," ",
"S207342","2011"," "," "," "," "," ",
"S207343","2011"," "," "," "," "," ",
"S207344","2011","Metro. Boston Housing Partnership","Program Representative","1530","Social Work/Human Services","MA",04-JAN-12
"S207345","2011"," "," "," "," "," ",
"S207346","2011"," "," "," "," "," ",
"S207347","2011","Employer Unknown"," ","1610","Other","CA",07-SEP-11
"S207348","2011"," "," "," "," "," ",
"S207349","2011","U.S. Navy"," ","1390","Military"," ",13-NOV-12
"S207350","2011","Employer Unknown","Part Time Bookkeeping","1010","Accounting","NY",07-DEC-12
"S207351","2011"," "," "," "," "," ",
"S207352","2011","Epic Systems","Writer","1580","Writing","WI",29-OCT-12
"S207353","2011"," "," "," "," "," ",
"S207355","2011"," "," "," "," "," ",
"S207356","2011"," "," "," "," "," ",
"S207357","2011","Teach For America","Teacher","1140","Education (Secondary)","TX",12-APR-12
"S207358","2011"," "," "," "," "," ",
"S207360","2011","Harrang Long Gary Rudnick","Office Services Assistant","1610","Other"," ",11-APR-12
"S207361","2011"," "," "," "," "," ",
"S207362","2011","Brigham and Women's Hospital","Executive Assistant","1250","Health Care"," ",13-APR-12
"S207363","2011","Case Western Reserve University","JD-MBA Candidate","1230","Graduate Studies","OH",11-OCT-12
"S207364","2011","Trinity University","Development","1210","Fundraising/Development","DC",07-DEC-12
"S207365","2011","City Year Washington DC","Corps Member","1130","Education (Elementary)","DC",16-FEB-12
"S207366","2011","Fulbright","English Teacher","1140","Education (Secondary)"," ",14-JUL-11
"S207367","2011","Samuel Adams Brewery","Brewery Ambassador","1260","Hotel/Food Management","MA",11-APR-12
"S207368","2011"," "," "," "," "," ",
"S207369","2011"," "," "," "," "," ",
"S207370","2011","Relay Food","Operations Team","1610","Other"," ",12-NOV-12
"S207371","2011","Ohio State University","Dental Student","1230","Graduate Studies"," ",16-AUG-12
"S207372","2011"," "," "," "," "," ",
"S207373","2011","Cornell Medical School"," ","1500","Research,Scientific","NY",09-NOV-11
"S207374","2011","University of British Columbia","Grad. Student-MS Library Studies","1230","Graduate Studies"," ",05-DEC-12
"S207375","2011"," "," "," "," "," ",
"S207376","2011"," "," "," "," "," ",
"S207378","2011","Million TreesNYC","Outreach Coordinator","1425","Non-Profit Adminstration"," ",25-APR-12
"S207379","2011"," "," "," "," "," ",
"S207381","2011"," "," "," "," "," ",
"S207383","2011","Google","Associate Account Strategist, SMB","1125","ECommerce/Web","CA",04-DEC-12
"S207386","2011"," "," "," "," "," ",
"S207388","2011","Victory Garden Initiative","Program Coordinator","1610","Other","WI",15-AUG-12
"S207389","2011"," "," "," "," "," ",
"S207390","2011"," "," "," "," "," ",
"S207392","2011"," "," "," "," "," ",
"S207393","2011"," "," "," "," "," ",
"S207394","2011","University of Michigan","Medical Student","1230","Graduate Studies"," ",12-APR-12
"S207395","2011","Smithsonian American Art Museum","Clarice Smith Education Program","1410","Museum Work"," ",21-SEP-12
"S207396","2011","University of Michigan","PhD Student-English Language & Lit.","1230","Graduate Studies"," ",25-SEP-12
"S207397","2011"," "," "," "," "," ",
"S207398","2011","School Unknown","Graduate Student-Biochemistry","1230","Graduate Studies"," ",10-APR-12
"S207399","2011"," "," "," "," "," ",
"S207400","2011"," "," "," "," "," ",
"S207401","2011","Indiana University","Graduate Student","1230","Graduate Studies"," ",10-APR-12
"S207402","2011"," "," "," "," "," ",
"S207403","2011","Paul Kasmin Gallery","Intern","1050","Arts"," ",02-AUG-12
"S207405","2011"," "," "," "," "," ",
"S207406","2011"," "," "," "," "," ",
"S207408","2011","Accenture","Strategy Analyst","1610","Other"," ",10-APR-12
"S207409","2011","Neat-oh International LLC","Operations Specialist","1610","Other"," ",11-APR-12
"S207410","2011"," "," "," "," "," ",
"S207412","2011"," "," "," "," "," ",
"S207413","2011","Self Employed","Spanish Tutor","1610","Other"," ",11-APR-12
"S207414","2011"," "," "," "," "," ",
"S207415","2011"," "," "," "," "," ",
"S207416","2011"," "," "," "," "," ",
"S207417","2011","Teton Science Schools","Teaching Intern","1130","Education (Elementary)"," ",10-DEC-12
"S207418","2011"," "," "," "," "," ",
"S207419","2011"," "," "," "," "," ",
"S207420","2011"," "," "," "," "," ",
"S207421","2011","Tribogenics","Lab Technician","1610","Other"," ",24-APR-12
"S207422","2011","FDIC","Economic Research Assistant","1610","Other"," ",10-APR-12
"S207423","2011","The American School in Japan","Study Center Intern","1140","Education (Secondary)"," ",07-FEB-12
"S207424","2011"," "," "," "," "," ",
"S207425","2011"," "," "," "," "," ",
"S207427","2011","TALK","Fulbright Scholar-English Teacher","1140","Education (Secondary)"," ",23-APR-12
"S207428","2011"," "," "," "," "," ",
"S207429","2011"," "," "," "," "," ",
"S207431","2011"," "," "," "," "," ",
"S207432","2011","Yale University","Graduate Student","1230","Graduate Studies"," ",24-AUG-12
"S207435","2011"," "," "," "," "," ",
"S207436","2011"," "," "," "," "," ",
"S207438","2011"," "," "," "," "," ",
"S207439","2011","Yale University","Graduate Student","1230","Graduate Studies","CT",24-OCT-12
"S207441","2011","Case Western Sch. of Dental Med.","Graduate Student","1230","Graduate Studies"," ",21-NOV-12
"S207442","2011"," "," "," "," "," ",
"S207444","2011","Stony Brook University","Post Baccalaureate Student","1230","Graduate Studies"," ",21-NOV-12
"S207445","2011"," "," "," "," "," ",
"S207446","2011","UCSD","PhD Student-Biomedical Sciences","1230","Graduate Studies"," ",01-MAY-12
"S207447","2011"," "," "," "," "," ",
"S207448","2011"," "," "," "," "," ",
"S207449","2011","University of Colorado","Graduate Student","1230","Graduate Studies"," ",02-MAY-12
"S207450","2011","Ohio State University","Graduate Student","1230","Graduate Studies"," ",10-APR-12
"S207451","2011"," "," "," "," "," ",
"S207452","2011","DePauw University","Assistant Coach","1540","Sports"," ",13-APR-12
"S207453","2011"," "," "," "," "," ",
